component_id,method,approx_cook_min,can_cook_with_others,notes
55,boil,7,false,From cold water; 7 min = jammy yolk; ice bath 2 min
56,grill,12,false,Thin breast: 6 min/side; rest 3 min before slicing
56,pan_fry,12,false,Medium-high heat; cover first 6 min; slice against grain
57,roast,25,false,200°C; press tofu dry first; toss with soy and oil; flip at 15 min
57,pan_fry,10,false,Press dry; high heat; flip once; pressing gives crisp crust
58,roast,25,false,200°C; pat dry; toss with oil and salt; shake at 15 min
59,toast,5,false,Dry skillet or 160°C oven 5–8 min; cool before use
60,no_prep,0,true,Roughly chop if large pieces preferred
61,toast,4,false,Dry skillet; medium heat; remove when golden
62,toast,5,false,Dry skillet or oven; stir frequently
63,no_prep,0,true,Ready to use; no prep needed
64,no_prep,0,true,Ready to use
65,no_prep,0,true,Ready to use; drain brine
66,no_prep,0,true,Ready to use; sprinkle generously
67,no_prep,0,true,Ready to use
68,grill,4,false,High heat; 2 min/side; should develop char marks and soften slightly
68,pan_fry,4,false,Dry non-stick pan; high heat; golden crust
69,no_prep,0,true,Slice or tear; ready to use
70,pan_fry,8,false,Thin slices; medium-high heat; 4 min/side; golden crust
70,roast,20,false,Slices; 200°C; toss with tamari and oil
